"cbsa","geotype","groups","yr","poor20shsig","poor20sh","poor40shsig","poor40sh"
12060,"City","White","00to0509",0,-0.03617,0,0.01638
12060,"City","White","0509to1014",1,0.13904,0,0.01999
12060,"Metro","All","00to0509",1,0.10387,-1,-0.0354
12060,"Metro","All","0509to1014",1,0.14584,1,0.0434
12060,"Metro","Black","00to0509",0,0.02077,-1,-0.07168
12060,"Metro","Black","0509to1014",1,0.15196,1,0.0495
12060,"Metro","Hispanic","00to0509",1,0.25665,0,-0.00352
12060,"Metro","Hispanic","0509to1014",1,0.16766,1,0.06913
12060,"Metro","White","00to0509",1,0.13572,1,0.00439
12060,"Metro","White","0509to1014",1,0.10679,1,0.01069
12060,"Suburb","All","00to0509",1,0.18083,-1,-0.01343
12060,"Suburb","All","0509to1014",1,0.18021,1,0.05866
12060,"Suburb","Black","00to0509",1,0.1284,-1,-0.03618
12060,"Suburb","Black","0509to1014",1,0.22837,1,0.07969
12060,"Suburb","Hispanic","00to0509",1,0.30143,0,-0.00366
12060,"Suburb","Hispanic","0509to1014",1,0.16374,1,0.07151
12060,"Suburb","White","00to0509",1,0.14719,1,0.0031
12060,"Suburb","White","0509to1014",1,0.10636,1,0.0119
12260,"City","All","00to0509",1,0.11941,1,0.0748
12260,"City","All","0509to1014",0,0.02872,-1,-0.06144
12260,"City","Black","00to0509",1,0.10353,1,0.07626
12260,"City","Black","0509to1014",0,0.02813,-1,-0.08779
12260,"City","Hispanic","00to0509",0,-0.0907,0,-0.03797
12260,"City","Hispanic","0509to1014",0,-0.01151,0,0.01958
12260,"City","White","00to0509",1,0.15528,1,0.06728
12260,"City","White","0509to1014",0,0.05494,0,0.00456
12260,"Metro","All","00to0509",1,0.09899,1,0.04538
12260,"Metro","All","0509to1014",1,0.1284,0,-0.01312
12260,"Metro","Black","00to0509",1,0.1113,1,0.06958
12260,"Metro","Black","0509to1014",1,0.10909,0,-0.03003
12260,"Metro","Hispanic","00to0509",0,-0.02959,0,-0.02008
12260,"Metro","Hispanic","0509to1014",0,0.19426,0,0.02563
12260,"Metro","White","00to0509",1,0.12114,1,0.02527
12260,"Metro","White","0509to1014",1,0.16339,0,0.01651
12260,"Suburb","All","00to0509",1,0.09439,1,0.02817
12260,"Suburb","All","0509to1014",1,0.21578,1,0.03133
12260,"Suburb","Black","00to0509",1,0.11528,1,0.05707
12260,"Suburb","Black","0509to1014",1,0.20687,0,0.03986
12260,"Suburb","Hispanic","00to0509",0,0.0895,0,0.00513
12260,"Suburb","Hispanic","0509to1014",0,0.28394,0,0.02827
12260,"Suburb","White","00to0509",1,0.12218,0,0.00879
12260,"Suburb","White","0509to1014",1,0.22083,1,0.02627
12420,"City","All","00to0509",1,0.10077,1,0.08343
12420,"City","All","0509to1014",1,0.07941,1,0.04026
12420,"City","Black","00to0509",0,0.12001,0,0.00939
12420,"City","Black","0509to1014",0,0.07033,1,0.07625
12420,"City","Hispanic","00to0509",1,0.12871,1,0.11592
12420,"City","Hispanic","0509to1014",1,0.10751,1,0.0548
12420,"City","White","00to0509",0,0.03773,1,0.05408
12420,"City","White","0509to1014",0,0.03674,0,-0.00937
12420,"Metro","All","00to0509",1,0.0782,1,0.0532
12420,"Metro","All","0509to1014",1,0.04411,1,0.01988
12420,"Metro","Black","00to0509",1,0.11634,0,0.0156
12420,"Metro","Black","0509to1014",0,-0.02517,0,0.01522
12420,"Metro","Hispanic","00to0509",1,0.1237,1,0.07477
12420,"Metro","Hispanic","0509to1014",0,0.05963,1,0.0266
12420,"Metro","White","00to0509",0,0.0198,1,0.03566
12420,"Metro","White","0509to1014",0,0.02372,0,0.00582
12420,"Suburb","All","00to0509",1,0.0713,0,-0.00075
12420,"Suburb","All","0509to1014",1,0.04641,0,-0.00295
12420,"Suburb","Black","00to0509",0,0.07984,0,0.03152
12420,"Suburb","Black","0509to1014",0,-0.05429,-1,-0.07635
12420,"Suburb","Hispanic","00to0509",1,0.13363,0,-0.01071
12420,"Suburb","Hispanic","0509to1014",0,0.06729,0,-0.00117
12420,"Suburb","White","00to0509",0,0.02963,0,0.00667
12420,"Suburb","White","0509to1014",0,0.02119,0,0.01975
12540,"City","All","00to0509",-1,-0.09064,-1,-0.09214
12540,"City","All","0509to1014",1,0.10686,1,0.08831
12540,"City","Black","00to0509",0,-0.03643,0,-0.10451
12540,"City","Black","0509to1014",0,0.03563,0,0.06468
12540,"City","Hispanic","00to0509",-1,-0.15971,-1,-0.14114
12540,"City","Hispanic","0509to1014",1,0.14099,1,0.10061
12540,"City","White","00to0509",0,-0.03038,-1,-0.03316
12540,"City","White","0509to1014",0,0.05099,1,0.06421
12540,"Metro","All","00to0509",0,-0.01471,-1,-0.05793
12540,"Metro","All","0509to1014",1,0.07339,1,0.15486
12540,"Metro","Black","00to0509",0,0.05858,0,-0.04105
12540,"Metro","Black","0509to1014",0,-0.02114,0,0.01431
12540,"Metro","Hispanic","00to0509",-1,-0.07921,-1,-0.09563
12540,"Metro","Hispanic","0509to1014",0,0.06927,1,0.16796
12540,"Metro","White","00to0509",0,0.03586,-1,-0.02055
12540,"Metro","White","0509to1014",1,0.10166,1,0.18192
12540,"Suburb","All","00to0509",0,0.02297,-1,-0.0345
12540,"Suburb","All","0509to1014",0,0.06022,1,0.18782
12540,"Suburb","Black","00to0509",0,0.24022,0,0.12202
12540,"Suburb","Black","0509to1014",0,-0.1016,0,-0.05556
12540,"Suburb","Hispanic","00to0509",0,-0.04429,-1,-0.06951
12540,"Suburb","Hispanic","0509to1014",0,0.04213,1,0.19416
12540,"Suburb","White","00to0509",0,0.06352,-1,-0.01439
12540,"Suburb","White","0509to1014",1,0.12697,1,0.23469
12580,"City","All","00to0509",0,-0.02487,-1,-0.06199
12580,"City","All","0509to1014",1,0.07212,1,0.05176
12580,"City","Black","00to0509",0,-0.04049,-1,-0.06283
12580,"City","Black","0509to1014",0,0.06486,1,0.04612
12580,"City","Hispanic","00to0509",0,0.27674,0,-0.02097
12580,"City","Hispanic","0509to1014",0,-0.09718,0,0.10594
12580,"City","White","00to0509",0,0.05166,-1,-0.03184
12580,"City","White","0509to1014",0,0.09566,1,0.03915
12580,"Metro","All","00to0509",-1,-0.04557,-1,-0.05051
12580,"Metro","All","0509to1014",1,0.03253,1,0.02249
