"cbsa","geotype","groups","sh20_00to0509","sh20_00to0509s","sh20_0509to1014","sh20_0509to1014s","sh20_00to1014","sh20_00to1014s","sh40_00to0509","sh40_00to0509s","sh40_0509to1014","sh40_0509to1014s","sh40_00to1014","sh40_00to1014s"
12060,"City","Hispanic",-0.22015,"0",0.26441,"0",0.04425,"0",0.08837,"0",0.1099,"0",0.19827,"1"
12060,"City","White",-0.03617,"0",0.13904,"1",0.10286,"1",0.01638,"0",0.01999,"0",0.03637,"1"
12060,"Metro","All",0.10387,"1",0.14584,"1",0.24971,"1",-0.0354,"-1",0.0434,"1",0.008,"1"
12060,"Metro","Black",0.02077,"0",0.15196,"1",0.17273,"1",-0.07168,"-1",0.0495,"1",-0.02217,"-1"
12060,"Metro","Hispanic",0.25665,"1",0.16766,"1",0.42431,"1",-0.00352,"0",0.06913,"1",0.0656,"1"
12060,"Metro","White",0.13572,"1",0.10679,"1",0.24251,"1",0.00439,"1",0.01069,"1",0.01509,"1"
12060,"Suburb","All",0.18083,"1",0.18021,"1",0.36104,"1",-0.01343,"-1",0.05866,"1",0.04523,"1"
12060,"Suburb","Black",0.1284,"1",0.22837,"1",0.35678,"1",-0.03618,"-1",0.07969,"1",0.04351,"1"
12060,"Suburb","Hispanic",0.30143,"1",0.16374,"1",0.46517,"1",-0.00366,"0",0.07151,"1",0.06785,"1"
12060,"Suburb","White",0.14719,"1",0.10636,"1",0.25355,"1",0.0031,"1",0.0119,"1",0.01501,"1"
12260,"City","All",0.11941,"1",0.02872,"0",0.14812,"1",0.0748,"1",-0.06144,"-1",0.01336,"0"
12260,"City","Black",0.10353,"1",0.02813,"0",0.13167,"1",0.07626,"1",-0.08779,"-1",-0.01153,"0"
12260,"City","Hispanic",-0.0907,"0",-0.01151,"0",-0.10221,"0",-0.03797,"0",0.01958,"0",-0.0184,"0"
12260,"City","White",0.15528,"1",0.05494,"0",0.21022,"1",0.06728,"1",0.00456,"0",0.07184,"1"
12260,"Metro","All",0.09899,"1",0.1284,"1",0.22739,"1",0.04538,"1",-0.01312,"0",0.03226,"1"
12260,"Metro","Black",0.1113,"1",0.10909,"1",0.22039,"1",0.06958,"1",-0.03003,"0",0.03955,"1"
12260,"Metro","Hispanic",-0.02959,"0",0.19426,"0",0.16466,"0",-0.02008,"0",0.02563,"0",0.00555,"0"
12260,"Metro","White",0.12114,"1",0.16339,"1",0.28452,"1",0.02527,"1",0.01651,"0",0.04179,"1"
12260,"Suburb","All",0.09439,"1",0.21578,"1",0.31017,"1",0.02817,"1",0.03133,"1",0.0595,"1"
12260,"Suburb","Black",0.11528,"1",0.20687,"1",0.32215,"1",0.05707,"1",0.03986,"0",0.09693,"1"
12260,"Suburb","Hispanic",0.0895,"0",0.28394,"0",0.37344,"1",0.00513,"0",0.02827,"0",0.03341,"0"
12260,"Suburb","White",0.12218,"1",0.22083,"1",0.34301,"1",0.00879,"0",0.02627,"1",0.03506,"1"
12420,"City","All",0.10077,"1",0.07941,"1",0.18018,"1",0.08343,"1",0.04026,"1",0.12369,"1"
12420,"City","Black",0.12001,"0",0.07033,"0",0.19034,"1",0.00939,"0",0.07625,"1",0.08564,"1"
12420,"City","Hispanic",0.12871,"1",0.10751,"1",0.23623,"1",0.11592,"1",0.0548,"1",0.17071,"1"
12420,"City","White",0.03773,"0",0.03674,"0",0.07448,"1",0.05408,"1",-0.00937,"0",0.04471,"1"
12420,"Metro","All",0.0782,"1",0.04411,"1",0.12231,"1",0.0532,"1",0.01988,"1",0.07308,"1"
12420,"Metro","Black",0.11634,"1",-0.02517,"0",0.09116,"1",0.0156,"0",0.01522,"0",0.03082,"1"
12420,"Metro","Hispanic",0.1237,"1",0.05963,"0",0.18333,"1",0.07477,"1",0.0266,"1",0.10136,"1"
12420,"Metro","White",0.0198,"0",0.02372,"0",0.04352,"1",0.03566,"1",0.00582,"0",0.04148,"1"
12420,"Suburb","All",0.0713,"1",0.04641,"1",0.11771,"1",-0.00075,"0",-0.00295,"0",-0.0037,"0"
12420,"Suburb","Black",0.07984,"0",-0.05429,"0",0.02555,"0",0.03152,"0",-0.07635,"-1",-0.04483,"-1"
12420,"Suburb","Hispanic",0.13363,"1",0.06729,"0",0.20092,"1",-0.01071,"0",-0.00117,"0",-0.01187,"0"
12420,"Suburb","White",0.02963,"0",0.02119,"0",0.05082,"1",0.00667,"0",0.01975,"0",0.02641,"1"
12540,"City","All",-0.09064,"-1",0.10686,"1",0.01623,"0",-0.09214,"-1",0.08831,"1",-0.00383,"0"
12540,"City","Black",-0.03643,"0",0.03563,"0",-8e-04,"0",-0.10451,"0",0.06468,"0",-0.03983,"0"
