"cbsa","geotype","groups","yr","poor","poor20","poor20sh","poor40","poor40sh"
16860,"City","All","2010_14",36173,23348,0.64545,14802,0.4092
16860,"City","Black","2000",14924,11279,0.75576,6143,0.41162
16860,"City","Black","2005_09",17505,13080,0.74722,7410,0.42331
16860,"City","Black","2010_14",18478,15799,0.85502,10881,0.58886
16860,"City","Hispanic","2000",761,580,0.76216,134,0.17608
16860,"City","Hispanic","2005_09",2454,1796,0.73187,671,0.27343
16860,"City","Hispanic","2010_14",3609,2501,0.69299,1395,0.38653
16860,"City","White","2000",8985,3159,0.35159,500,0.05565
16860,"City","White","2005_09",12381,4972,0.40158,2390,0.19304
16860,"City","White","2010_14",12675,4354,0.34351,2288,0.18051
16860,"Metro","All","2000",54849,18656,0.34013,6899,0.12578
16860,"Metro","All","2005_09",70700,28218,0.39912,10535,0.14901
16860,"Metro","All","2010_14",83302,35610,0.42748,14802,0.17769
16860,"Metro","Black","2000",16675,11612,0.69637,6143,0.3684
16860,"Metro","Black","2005_09",19662,13839,0.70384,7410,0.37687
16860,"Metro","Black","2010_14",21097,16297,0.77248,10881,0.51576
16860,"Metro","Hispanic","2000",1323,678,0.51247,134,0.10128
16860,"Metro","Hispanic","2005_09",3862,2277,0.58959,671,0.17374
16860,"Metro","Hispanic","2010_14",5834,3193,0.54731,1395,0.23912
16860,"Metro","White","2000",35237,5986,0.16988,500,0.01419
16860,"Metro","White","2005_09",45022,11125,0.2471,2390,0.05309
16860,"Metro","White","2010_14",53019,14856,0.2802,2288,0.04315
16860,"Suburb","All","2000",29438,3289,0.11173,0,0
16860,"Suburb","All","2005_09",37596,7996,0.21268,0,0
16860,"Suburb","All","2010_14",47129,12262,0.26018,0,0
16860,"Suburb","Black","2000",1751,333,0.19018,0,0
16860,"Suburb","Black","2005_09",2157,759,0.35188,0,0
16860,"Suburb","Black","2010_14",2619,498,0.19015,0,0
16860,"Suburb","Hispanic","2000",562,98,0.17438,0,0
16860,"Suburb","Hispanic","2005_09",1408,481,0.34162,0,0
16860,"Suburb","Hispanic","2010_14",2225,692,0.31101,0,0
16860,"Suburb","White","2000",26252,2827,0.10769,0,0
16860,"Suburb","White","2005_09",32641,6153,0.18851,0,0
16860,"Suburb","White","2010_14",40344,10502,0.26031,0,0
16980,"City","All","2000",556180,371274,0.66754,101273,0.18209
16980,"City","All","2005_09",587000,403276,0.68701,137623,0.23445
16980,"City","All","2010_14",620370,455881,0.73485,159608,0.25728
16980,"City","Black","2000",298272,245676,0.82366,89511,0.3001
16980,"City","Black","2005_09",298514,255381,0.85551,112878,0.37813
16980,"City","Black","2010_14",291056,262584,0.90218,129312,0.44429
16980,"City","Hispanic","2000",153257,91290,0.59567,8525,0.05563
16980,"City","Hispanic","2005_09",172234,106338,0.6174,18255,0.10599
16980,"City","Hispanic","2010_14",196865,138430,0.70317,22687,0.11524
16980,"City","White","2000",74276,20629,0.27773,1697,0.02285
16980,"City","White","2005_09",90043,29350,0.32596,4776,0.05304
16980,"City","White","2010_14",94595,33605,0.35525,4399,0.0465
16980,"Metro","All","2000",921995,441653,0.47902,113000,0.12256
16980,"Metro","All","2005_09",1101942,539346,0.48945,158746,0.14406
16980,"Metro","All","2010_14",1309458,695623,0.53123,204943,0.15651
16980,"Metro","Black","2000",396680,290006,0.73108,96923,0.24434
16980,"Metro","Black","2005_09",435536,326533,0.74973,128214,0.29438
16980,"Metro","Black","2010_14",462665,366946,0.79311,159108,0.34389
16980,"Metro","Hispanic","2000",239470,106891,0.44636,9561,0.03993
16980,"Metro","Hispanic","2005_09",309652,144469,0.46655,22109,0.0714
16980,"Metro","Hispanic","2010_14",409811,229754,0.56063,32341,0.07892
16980,"Metro","White","2000",236487,29633,0.1253,4450,0.01882
16980,"Metro","White","2005_09",301590,52402,0.17375,6344,0.02104
16980,"Metro","White","2010_14",356941,70756,0.19823,9193,0.02575
16980,"Suburb","All","2000",365815,70379,0.19239,11727,0.03206
16980,"Suburb","All","2005_09",514942,136070,0.26424,21123,0.04102
16980,"Suburb","All","2010_14",689088,239742,0.34791,45335,0.06579
16980,"Suburb","Black","2000",98408,44330,0.45047,7412,0.07532
16980,"Suburb","Black","2005_09",137022,71152,0.51927,15336,0.11192
16980,"Suburb","Black","2010_14",171609,104362,0.60814,29796,0.17363
16980,"Suburb","Hispanic","2000",86213,15601,0.18096,1036,0.01202
16980,"Suburb","Hispanic","2005_09",137418,38131,0.27748,3854,0.02805
16980,"Suburb","Hispanic","2010_14",212946,91324,0.42886,9654,0.04534
16980,"Suburb","White","2000",162211,9004,0.05551,2753,0.01697
16980,"Suburb","White","2005_09",211547,23052,0.10897,1568,0.00741
16980,"Suburb","White","2010_14",262346,37151,0.14161,4794,0.01827
17140,"City","All","2000",65143,45363,0.69636,18843,0.28926
