cbsa,metro,geotype,group,year,poor,_20plus_poor,_20plus_poor_share,_40plus_poor,_40plus_poor_share
10580,"Albany-Schenectady-Troy, NY",Metro,Non-Hispanic White,2000,48454.00000,14277.00000,0.29465,1800.00000,0.03715
10580,"Albany-Schenectady-Troy, NY",Metro,Non-Hispanic White,2005-09,55444.00000,18671.00000,0.33675,4354.00000,0.07853
10580,"Albany-Schenectady-Troy, NY",Metro,Non-Hispanic White,2010-14,56769.00000,17414.00000,0.30675,3043.00000,0.05360
10580,"Albany-Schenectady-Troy, NY",Suburb,All,2000,53398.00000,16215.00000,0.30366,2778.00000,0.05202
10580,"Albany-Schenectady-Troy, NY",Suburb,All,2005-09,62149.00000,20948.00000,0.33706,4451.00000,0.07162
10580,"Albany-Schenectady-Troy, NY",Suburb,All,2010-14,72114.00000,25639.00000,0.35553,5205.00000,0.07218
10580,"Albany-Schenectady-Troy, NY",Suburb,Black,2000,6385.00000,4495.00000,0.70399,1230.00000,0.19264
10580,"Albany-Schenectady-Troy, NY",Suburb,Black,2005-09,7656.00000,5361.00000,0.70024,1779.00000,0.23237
10580,"Albany-Schenectady-Troy, NY",Suburb,Black,2010-14,9605.00000,7133.00000,0.74263,2248.00000,0.23404
10580,"Albany-Schenectady-Troy, NY",Suburb,Hispanic,2000,3344.00000,2132.00000,0.63756,562.00000,0.16806
10580,"Albany-Schenectady-Troy, NY",Suburb,Hispanic,2005-09,5253.00000,3696.00000,0.70360,1567.00000,0.29831
10580,"Albany-Schenectady-Troy, NY",Suburb,Hispanic,2010-14,7344.00000,4808.00000,0.65468,1228.00000,0.16721
10580,"Albany-Schenectady-Troy, NY",Suburb,Non-Hispanic White,2000,40772.00000,8528.00000,0.20916,879.00000,0.02156
10580,"Albany-Schenectady-Troy, NY",Suburb,Non-Hispanic White,2005-09,45091.00000,10601.00000,0.23510,1098.00000,0.02435
10580,"Albany-Schenectady-Troy, NY",Suburb,Non-Hispanic White,2010-14,48900.00000,11175.00000,0.22853,1346.00000,0.02753
10740,"Albuquerque, NM",City,All,2000,59214.00000,27041.00000,0.45667,3233.00000,0.05460
10740,"Albuquerque, NM",City,All,2005-09,78690.00000,42774.00000,0.54358,7689.00000,0.09771
10740,"Albuquerque, NM",City,All,2010-14,97680.00000,64894.00000,0.66435,13943.00000,0.14274
10740,"Albuquerque, NM",City,Black,2000,2660.00000,1374.00000,0.51654,198.00000,0.07444
10740,"Albuquerque, NM",City,Black,2005-09,5145.00000,2784.00000,0.54111,322.00000,0.06259
10740,"Albuquerque, NM",City,Black,2010-14,4491.00000,2833.00000,0.63082,369.00000,0.08216
10740,"Albuquerque, NM",City,Hispanic,2000,32973.00000,17216.00000,0.52212,2347.00000,0.07118
10740,"Albuquerque, NM",City,Hispanic,2005-09,45029.00000,26682.00000,0.59255,4761.00000,0.10573
10740,"Albuquerque, NM",City,Hispanic,2010-14,59020.00000,43178.00000,0.73158,9540.00000,0.16164
10740,"Albuquerque, NM",City,Non-Hispanic White,2000,17394.00000,5438.00000,0.31264,561.00000,0.03225
10740,"Albuquerque, NM",City,Non-Hispanic White,2005-09,21049.00000,8884.00000,0.42206,1632.00000,0.07753
10740,"Albuquerque, NM",City,Non-Hispanic White,2010-14,25166.00000,12831.00000,0.50985,2179.00000,0.08659
10740,"Albuquerque, NM",Metro,All,2000,99615.00000,47057.00000,0.47239,5149.00000,0.05169
10740,"Albuquerque, NM",Metro,All,2005-09,121396.00000,63668.00000,0.52447,9114.00000,0.07508
10740,"Albuquerque, NM",Metro,All,2010-14,165555.00000,106166.00000,0.64127,19991.00000,0.12075
10740,"Albuquerque, NM",Metro,Black,2000,3118.00000,1558.00000,0.49968,199.00000,0.06382
10740,"Albuquerque, NM",Metro,Black,2005-09,5909.00000,2880.00000,0.48739,322.00000,0.05449
10740,"Albuquerque, NM",Metro,Black,2010-14,5446.00000,3100.00000,0.56923,396.00000,0.07271
10740,"Albuquerque, NM",Metro,Hispanic,2000,56323.00000,28612.00000,0.50800,2348.00000,0.04169
10740,"Albuquerque, NM",Metro,Hispanic,2005-09,70441.00000,40348.00000,0.57279,4802.00000,0.06817
10740,"Albuquerque, NM",Metro,Hispanic,2010-14,99213.00000,70162.00000,0.70719,13476.00000,0.13583
10740,"Albuquerque, NM",Metro,Non-Hispanic White,2000,26754.00000,7894.00000,0.29506,581.00000,0.02172
10740,"Albuquerque, NM",Metro,Non-Hispanic White,2005-09,31329.00000,11841.00000,0.37796,1647.00000,0.05257
10740,"Albuquerque, NM",Metro,Non-Hispanic White,2010-14,42574.00000,20280.00000,0.47635,2673.00000,0.06278
10740,"Albuquerque, NM",Suburb,All,2000,40401.00000,20016.00000,0.49543,1916.00000,0.04742
10740,"Albuquerque, NM",Suburb,All,2005-09,42706.00000,20894.00000,0.48925,1425.00000,0.03337
10740,"Albuquerque, NM",Suburb,All,2010-14,67875.00000,41272.00000,0.60806,6048.00000,0.08910
10740,"Albuquerque, NM",Suburb,Black,2000,458.00000,184.00000,0.40175,1.00000,0.00218
10740,"Albuquerque, NM",Suburb,Black,2005-09,764.00000,96.00000,0.12565,0.00000,0.00000
10740,"Albuquerque, NM",Suburb,Black,2010-14,955.00000,267.00000,0.27958,27.00000,0.02827
10740,"Albuquerque, NM",Suburb,Hispanic,2000,23350.00000,11396.00000,0.48805,1.00000,0.00004
10740,"Albuquerque, NM",Suburb,Hispanic,2005-09,25412.00000,13666.00000,0.53778,41.00000,0.00161
10740,"Albuquerque, NM",Suburb,Hispanic,2010-14,40193.00000,26984.00000,0.67136,3936.00000,0.09793
10740,"Albuquerque, NM",Suburb,Non-Hispanic White,2000,9360.00000,2456.00000,0.26239,20.00000,0.00214
10740,"Albuquerque, NM",Suburb,Non-Hispanic White,2005-09,10280.00000,2957.00000,0.28765,15.00000,0.00146
10740,"Albuquerque, NM",Suburb,Non-Hispanic White,2010-14,17408.00000,7449.00000,0.42791,494.00000,0.02838
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,All,2000,18267.00000,11221.00000,0.61428,2182.00000,0.11945
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,All,2005-09,24571.00000,19644.00000,0.79948,4097.00000,0.16674
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,All,2010-14,29306.00000,25582.00000,0.87293,7438.00000,0.25380
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Black,2000,2229.00000,1566.00000,0.70256,332.00000,0.14895
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Black,2005-09,2767.00000,2425.00000,0.87640,610.00000,0.22046
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Black,2010-14,4893.00000,4449.00000,0.90926,1438.00000,0.29389
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Hispanic,2000,8730.00000,6456.00000,0.73952,1346.00000,0.15418
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Hispanic,2005-09,14036.00000,12471.00000,0.88850,1846.00000,0.13152
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Hispanic,2010-14,19896.00000,18117.00000,0.91059,5632.00000,0.28307
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Non-Hispanic White,2000,6659.00000,3035.00000,0.45577,467.00000,0.07013
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Non-Hispanic White,2005-09,7537.00000,4773.00000,0.63328,1583.00000,0.21003
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Non-Hispanic White,2010-14,4841.00000,3378.00000,0.69779,577.00000,0.11919
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,All,2000,59036.00000,19567.00000,0.33144,5502.00000,0.09320
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,All,2005-09,70597.00000,29357.00000,0.41584,6941.00000,0.09832
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,All,2010-14,89408.00000,40984.00000,0.45839,14943.00000,0.16713
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Black,2000,4444.00000,2478.00000,0.55761,503.00000,0.11319
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Black,2005-09,6088.00000,3595.00000,0.59051,736.00000,0.12089
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Black,2010-14,10072.00000,7066.00000,0.70155,2672.00000,0.26529
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Hispanic,2000,15326.00000,10358.00000,0.67584,3176.00000,0.20723
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Hispanic,2005-09,23202.00000,16608.00000,0.71580,3696.00000,0.15930
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Hispanic,2010-14,34021.00000,26212.00000,0.77047,10214.00000,0.30023
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Non-Hispanic White,2000,37262.00000,6264.00000,0.16811,1690.00000,0.04535
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Non-Hispanic White,2005-09,39581.00000,8888.00000,0.22455,2409.00000,0.06086
