cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
18140,"Columbus, OH",Suburb,Hispanic,0.06863,No Change,-0.19875,No Change,-0.13012,Decrease,0.03953,No Change,-0.02040,No Change,0.01913,Increase
18140,"Columbus, OH",Suburb,Non-Hispanic White,0.14795,Increase,0.08286,Increase,0.23081,Increase,0.01128,Increase,-0.00656,Decrease,0.00472,Increase
19100,"Dallas-Fort Worth-Arlington, TX",City,All,0.11276,Increase,0.06863,Increase,0.18140,Increase,0.06457,Increase,0.07847,Increase,0.14304,Increase
19100,"Dallas-Fort Worth-Arlington, TX",City,Black,0.08998,Increase,0.04933,No Change,0.13932,Increase,0.06290,Increase,0.07094,Increase,0.13384,Increase
19100,"Dallas-Fort Worth-Arlington, TX",City,Hispanic,0.10314,Increase,0.07430,Increase,0.17744,Increase,0.08176,Increase,0.09323,Increase,0.17500,Increase
19100,"Dallas-Fort Worth-Arlington, TX",City,Non-Hispanic White,0.13975,Increase,0.08973,Increase,0.22948,Increase,0.05139,Increase,0.02765,Increase,0.07903,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Metro,All,0.12839,Increase,0.05029,Increase,0.17868,Increase,0.03104,Increase,0.05173,Increase,0.08276,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Metro,Black,0.06941,Increase,0.03841,No Change,0.10782,Increase,0.02821,Increase,0.05449,Increase,0.08271,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Metro,Hispanic,0.13269,Increase,0.05078,Increase,0.18347,Increase,0.04866,Increase,0.06713,Increase,0.11579,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Metro,Non-Hispanic White,0.14311,Increase,0.04612,Increase,0.18924,Increase,0.01638,Increase,0.01704,Increase,0.03342,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Suburb,All,0.20592,Increase,0.04895,Increase,0.25487,Increase,0.00085,Increase,0.02919,Increase,0.03003,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Suburb,Black,0.16842,Increase,0.02852,No Change,0.19694,Increase,0.00000,No Change,0.02656,Increase,0.02656,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Suburb,Hispanic,0.26181,Increase,0.06182,Increase,0.32362,Increase,0.00190,Increase,0.04660,Increase,0.04850,Increase
19100,"Dallas-Fort Worth-Arlington, TX",Suburb,Non-Hispanic White,0.15470,Increase,0.02855,Increase,0.18324,Increase,0.00025,No Change,0.01294,Increase,0.01319,Increase
19380,"Dayton, OH",City,All,0.08229,Increase,0.08123,No Change,0.16352,Increase,0.28213,Increase,0.10403,Increase,0.38616,Increase
19380,"Dayton, OH",City,Black,0.05375,No Change,0.05293,No Change,0.10668,Increase,0.38363,Increase,-0.00176,No Change,0.38187,Increase
19380,"Dayton, OH",City,Hispanic,-0.07495,No Change,0.14860,No Change,0.07364,No Change,0.34875,No Change,0.14583,No Change,0.49458,Increase
19380,"Dayton, OH",City,Non-Hispanic White,0.14179,Increase,0.11152,No Change,0.25331,Increase,0.15190,Increase,0.25699,Increase,0.40889,Increase
19380,"Dayton, OH",Metro,All,0.04764,Increase,0.09956,Increase,0.14720,Increase,0.10915,Increase,0.03246,Increase,0.14160,Increase
19380,"Dayton, OH",Metro,Black,0.04627,No Change,0.07477,No Change,0.12104,Increase,0.22868,Increase,0.00896,No Change,0.23764,Increase
19380,"Dayton, OH",Metro,Hispanic,0.15695,No Change,0.08093,No Change,0.23788,Increase,0.18850,No Change,0.05518,No Change,0.24368,Increase
19380,"Dayton, OH",Metro,Non-Hispanic White,0.05383,Increase,0.13905,Increase,0.19288,Increase,0.04110,Increase,0.06312,Increase,0.10422,Increase
19380,"Dayton, OH",Suburb,All,0.09352,Increase,0.15241,Increase,0.24593,Increase,0.00000,#DIV/0!,0.01751,Increase,0.01751,Increase
19380,"Dayton, OH",Suburb,Black,0.19482,Increase,0.12726,No Change,0.32208,Increase,0.00000,#DIV/0!,0.04665,Increase,0.04665,Increase
19380,"Dayton, OH",Suburb,Hispanic,0.27855,No Change,0.06032,No Change,0.33887,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
19380,"Dayton, OH",Suburb,Non-Hispanic White,0.05154,Increase,0.17837,Increase,0.22991,Increase,0.00000,#DIV/0!,0.01152,Increase,0.01152,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",City,All,0.00000,#DIV/0!,0.55150,Increase,0.55150,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19660,"Deltona-Daytona Beach-Ormond Beach, FL",City,Black,0.00000,#DIV/0!,0.54878,No Change,0.54878,No Change,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19660,"Deltona-Daytona Beach-Ormond Beach, FL",City,Hispanic,0.00000,#DIV/0!,0.56438,Increase,0.56438,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19660,"Deltona-Daytona Beach-Ormond Beach, FL",City,Non-Hispanic White,0.00000,#DIV/0!,0.55576,Increase,0.55576,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metro,All,-0.01662,No Change,0.22468,Increase,0.20806,Increase,0.01843,Increase,0.04971,Increase,0.06815,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metro,Black,-0.04568,No Change,0.10233,No Change,0.05665,No Change,0.08543,Increase,0.12519,Increase,0.21061,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metro,Hispanic,0.09122,Increase,0.31190,Increase,0.40312,Increase,0.01106,No Change,0.02181,No Change,0.03286,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Metro,Non-Hispanic White,-0.00792,No Change,0.22537,Increase,0.21745,Increase,0.00206,No Change,0.02821,Increase,0.03027,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Suburb,All,0.00601,No Change,0.18048,Increase,0.18649,Increase,0.02309,Increase,0.05293,Increase,0.07602,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Suburb,Black,-0.02093,No Change,0.07395,No Change,0.05302,No Change,0.09435,Increase,0.12830,Increase,0.22265,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Suburb,Hispanic,0.21298,Increase,0.17438,No Change,0.38736,Increase,0.01890,No Change,0.02568,No Change,0.04457,Increase
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Suburb,Non-Hispanic White,-0.00213,No Change,0.19793,Increase,0.19580,Increase,0.00226,No Change,0.03015,Increase,0.03242,Increase
19740,"Denver-Aurora-Lakewood, CO",City,All,0.16611,Increase,0.05026,Increase,0.21636,Increase,0.04432,Increase,0.03885,Increase,0.08317,Increase
19740,"Denver-Aurora-Lakewood, CO",City,Black,0.14887,Increase,0.05256,No Change,0.20142,Increase,0.07815,Increase,0.01765,No Change,0.09580,Increase
19740,"Denver-Aurora-Lakewood, CO",City,Hispanic,0.15503,Increase,0.06048,No Change,0.21550,Increase,0.04397,Increase,0.05847,Increase,0.10244,Increase
19740,"Denver-Aurora-Lakewood, CO",City,Non-Hispanic White,0.15837,Increase,0.02603,No Change,0.18440,Increase,0.03141,Increase,-0.00193,No Change,0.02947,Increase
19740,"Denver-Aurora-Lakewood, CO",Metro,All,0.18965,Increase,0.01531,No Change,0.20496,Increase,0.02901,Increase,0.01835,Increase,0.04736,Increase
19740,"Denver-Aurora-Lakewood, CO",Metro,Black,0.17479,Increase,0.02243,No Change,0.19722,Increase,0.06661,Increase,0.01282,No Change,0.07944,Increase
19740,"Denver-Aurora-Lakewood, CO",Metro,Hispanic,0.19581,Increase,0.03376,No Change,0.22957,Increase,0.02890,Increase,0.03388,Increase,0.06278,Increase
19740,"Denver-Aurora-Lakewood, CO",Metro,Non-Hispanic White,0.15018,Increase,0.00364,No Change,0.15382,Increase,0.01814,Increase,-0.00523,No Change,0.01292,Increase
19740,"Denver-Aurora-Lakewood, CO",Suburb,All,0.24289,Increase,-0.00839,No Change,0.23449,Increase,0.00451,Increase,-0.00451,Decrease,0.00000,No Change
19740,"Denver-Aurora-Lakewood, CO",Suburb,Black,0.44622,Increase,-0.13253,No Change,0.31369,Increase,0.00000,No Change,0.00000,No Change,0.00000,No Change
19740,"Denver-Aurora-Lakewood, CO",Suburb,Hispanic,0.35387,Increase,0.01369,No Change,0.36756,Increase,0.00063,No Change,-0.00063,No Change,0.00000,No Change
19740,"Denver-Aurora-Lakewood, CO",Suburb,Non-Hispanic White,0.14394,Increase,-0.00313,No Change,0.14082,Increase,0.00590,Increase,-0.00590,Decrease,0.00000,No Change
19780,"Des Moines-West Des Moines, IA",City,All,0.16875,Increase,0.10386,Increase,0.27261,Increase,0.04721,Increase,0.02382,No Change,0.07103,Increase
19780,"Des Moines-West Des Moines, IA",City,Black,0.05025,No Change,0.15896,No Change,0.20920,Increase,0.01834,Increase,0.08891,Increase,0.10725,Increase
19780,"Des Moines-West Des Moines, IA",City,Hispanic,0.05424,No Change,0.17452,No Change,0.22876,Increase,0.06875,Increase,0.03267,No Change,0.10142,Increase
19780,"Des Moines-West Des Moines, IA",City,Non-Hispanic White,0.25446,Increase,0.05439,No Change,0.30885,Increase,0.04833,Increase,-0.00406,No Change,0.04426,Increase
19780,"Des Moines-West Des Moines, IA",Metro,All,0.10241,Increase,0.04872,No Change,0.15113,Increase,0.02852,Increase,0.01147,No Change,0.03999,Increase
19780,"Des Moines-West Des Moines, IA",Metro,Black,0.02289,No Change,0.14077,No Change,0.16366,Increase,0.01574,Increase,0.07345,Increase,0.08920,Increase
19780,"Des Moines-West Des Moines, IA",Metro,Hispanic,0.04343,No Change,0.11149,No Change,0.15492,Increase,0.05105,Increase,0.02088,No Change,0.07193,Increase
19780,"Des Moines-West Des Moines, IA",Metro,Non-Hispanic White,0.13356,Increase,-0.00485,No Change,0.12871,Increase,0.02498,Increase,-0.00554,No Change,0.01944,Increase
19780,"Des Moines-West Des Moines, IA",Suburb,All,0.00000,#DIV/0!,0.03118,Increase,0.03118,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19780,"Des Moines-West Des Moines, IA",Suburb,Black,0.00000,#DIV/0!,0.15653,No Change,0.15653,No Change,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19780,"Des Moines-West Des Moines, IA",Suburb,Hispanic,0.00000,#DIV/0!,0.02278,No Change,0.02278,No Change,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19780,"Des Moines-West Des Moines, IA",Suburb,Non-Hispanic White,0.00000,#DIV/0!,0.02083,Increase,0.02083,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
19820,"Detroit-Warren-Dearborn, MI",City,All,0.09834,Increase,0.03263,No Change,0.13097,Increase,0.26330,Increase,0.16813,Increase,0.43143,Increase
19820,"Detroit-Warren-Dearborn, MI",City,Black,0.09079,Increase,0.04197,No Change,0.13276,Increase,0.27647,Increase,0.17000,Increase,0.44647,Increase
19820,"Detroit-Warren-Dearborn, MI",City,Hispanic,0.03147,No Change,0.00002,No Change,0.03149,No Change,0.30880,Increase,0.12540,No Change,0.43421,Increase
19820,"Detroit-Warren-Dearborn, MI",City,Non-Hispanic White,0.19969,Increase,-0.01175,No Change,0.18794,Increase,0.17155,Increase,0.18171,Increase,0.35326,Increase
19820,"Detroit-Warren-Dearborn, MI",Metro,All,0.05963,Increase,0.03628,Increase,0.09591,Increase,0.14409,Increase,0.08350,Increase,0.22759,Increase
19820,"Detroit-Warren-Dearborn, MI",Metro,Black,0.07160,Increase,0.01720,No Change,0.08880,Increase,0.22775,Increase,0.11903,Increase,0.34678,Increase
19820,"Detroit-Warren-Dearborn, MI",Metro,Hispanic,0.05490,No Change,0.01712,No Change,0.07202,Increase,0.18095,Increase,0.06955,Increase,0.25051,Increase
19820,"Detroit-Warren-Dearborn, MI",Metro,Non-Hispanic White,0.09794,Increase,0.08141,Increase,0.17935,Increase,0.05830,Increase,0.06131,Increase,0.11961,Increase
19820,"Detroit-Warren-Dearborn, MI",Suburb,All,0.06919,Increase,0.12909,Increase,0.19828,Increase,0.03399,Increase,0.07455,Increase,0.10854,Increase
19820,"Detroit-Warren-Dearborn, MI",Suburb,Black,0.05968,Increase,0.06630,No Change,0.12598,Increase,0.04566,Increase,0.08453,Increase,0.13019,Increase
19820,"Detroit-Warren-Dearborn, MI",Suburb,Hispanic,0.17418,Increase,0.12566,No Change,0.29984,Increase,0.03225,No Change,0.07638,Increase,0.10863,Increase
19820,"Detroit-Warren-Dearborn, MI",Suburb,Non-Hispanic White,0.07087,Increase,0.13362,Increase,0.20449,Increase,0.03296,Increase,0.06095,Increase,0.09391,Increase
21340,"El Paso, TX",City,All,0.00601,No Change,-0.03501,No Change,-0.02900,No Change,0.13802,Increase,-0.11047,Decrease,0.02755,Increase
21340,"El Paso, TX",City,Black,-0.11766,No Change,0.06446,No Change,-0.05320,No Change,0.08242,No Change,-0.03301,No Change,0.04941,No Change
21340,"El Paso, TX",City,Hispanic,0.00657,No Change,-0.03524,No Change,-0.02867,No Change,0.14376,Increase,-0.11256,Decrease,0.03120,Increase
21340,"El Paso, TX",City,Non-Hispanic White,0.06054,No Change,-0.08330,No Change,-0.02276,No Change,0.09683,Increase,-0.10977,Decrease,-0.01294,No Change
21340,"El Paso, TX",Metro,All,0.00583,No Change,-0.04636,No Change,-0.04053,Decrease,0.14815,Increase,-0.07712,Decrease,0.07103,Increase
21340,"El Paso, TX",Metro,Black,-0.16227,No Change,-0.01189,No Change,-0.17416,Decrease,0.07552,No Change,-0.01703,No Change,0.05848,No Change
21340,"El Paso, TX",Metro,Hispanic,0.00931,No Change,-0.04505,No Change,-0.03574,No Change,0.15223,Increase,-0.07573,Decrease,0.07650,Increase
21340,"El Paso, TX",Metro,Non-Hispanic White,0.01196,No Change,-0.08354,No Change,-0.07157,No Change,0.12011,Increase,-0.10287,Decrease,0.01724,No Change
21340,"El Paso, TX",Suburb,All,0.00301,No Change,-0.12328,No Change,-0.12027,Decrease,0.18618,Increase,-0.00023,No Change,0.18595,Increase
21340,"El Paso, TX",Suburb,Black,-0.51368,No Change,-0.17889,No Change,-0.69257,Decrease,-0.00835,No Change,0.09064,No Change,0.08229,No Change
21340,"El Paso, TX",Suburb,Hispanic,0.01574,No Change,-0.11222,No Change,-0.09648,Decrease,0.18183,Increase,0.00976,No Change,0.19160,Increase
21340,"El Paso, TX",Suburb,Non-Hispanic White,-0.28421,No Change,-0.11867,No Change,-0.40288,Decrease,0.32658,Increase,-0.12591,No Change,0.20067,Increase
23420,"Fresno, CA",City,All,-0.04581,No Change,0.12621,Increase,0.08041,Increase,-0.14507,Decrease,0.20718,Increase,0.06210,Increase
23420,"Fresno, CA",City,Black,-0.01529,No Change,0.11692,No Change,0.10163,No Change,-0.15933,Decrease,0.21307,Increase,0.05374,No Change
23420,"Fresno, CA",City,Hispanic,-0.04403,No Change,0.10796,Increase,0.06393,No Change,-0.14927,Decrease,0.22007,Increase,0.07080,Increase
23420,"Fresno, CA",City,Non-Hispanic White,-0.03922,No Change,0.14323,Increase,0.10401,Increase,-0.06771,Decrease,0.12909,Increase,0.06138,Increase
23420,"Fresno, CA",Metro,All,-0.02787,No Change,0.11454,Increase,0.08667,Increase,-0.06590,Decrease,0.18710,Increase,0.12120,Increase
23420,"Fresno, CA",Metro,Black,-0.04011,No Change,0.13994,No Change,0.09984,No Change,-0.14635,Decrease,0.21595,Increase,0.06960,No Change
23420,"Fresno, CA",Metro,Hispanic,-0.01879,No Change,0.09437,Increase,0.07558,Increase,-0.03318,Decrease,0.20232,Increase,0.16914,Increase
23420,"Fresno, CA",Metro,Non-Hispanic White,-0.00850,No Change,0.14005,Increase,0.13154,Increase,-0.03727,Decrease,0.10221,Increase,0.06494,Increase
23420,"Fresno, CA",Suburb,All,0.00019,No Change,0.09985,Increase,0.10004,Increase,0.04983,Increase,0.16192,Increase,0.21175,Increase
23420,"Fresno, CA",Suburb,Black,-0.33200,No Change,0.42211,No Change,0.09011,No Change,-0.20428,Decrease,0.34622,Increase,0.14193,No Change
23420,"Fresno, CA",Suburb,Hispanic,0.00605,No Change,0.07741,No Change,0.08346,Increase,0.07957,Increase,0.17410,Increase,0.25367,Increase
23420,"Fresno, CA",Suburb,Non-Hispanic White,0.02039,No Change,0.15519,Increase,0.17558,Increase,-0.00387,No Change,0.07899,Increase,0.07512,Increase
24340,"Grand Rapids-Wyoming, MI",City,All,0.18131,Increase,0.06814,No Change,0.24945,Increase,0.10203,Increase,0.24453,Increase,0.34656,Increase
24340,"Grand Rapids-Wyoming, MI",City,Black,0.10819,No Change,0.09496,No Change,0.20315,Increase,0.00816,No Change,0.33700,Increase,0.34515,Increase
24340,"Grand Rapids-Wyoming, MI",City,Hispanic,0.09547,No Change,0.00678,No Change,0.10225,No Change,0.29296,Increase,0.23832,Increase,0.53128,Increase
24340,"Grand Rapids-Wyoming, MI",City,Non-Hispanic White,0.30083,Increase,0.09615,No Change,0.39698,Increase,0.07588,Increase,0.14235,Increase,0.21823,Increase
24340,"Grand Rapids-Wyoming, MI",Metro,All,0.14233,Increase,0.07923,Increase,0.22155,Increase,0.03462,Increase,0.08069,Increase,0.11531,Increase
24340,"Grand Rapids-Wyoming, MI",Metro,Black,0.07710,No Change,0.09555,No Change,0.17266,Increase,-0.00678,No Change,0.22698,Increase,0.22019,Increase
24340,"Grand Rapids-Wyoming, MI",Metro,Hispanic,0.12835,Increase,0.03443,No Change,0.16278,Increase,0.14892,Increase,0.07885,Increase,0.22777,Increase
24340,"Grand Rapids-Wyoming, MI",Metro,Non-Hispanic White,0.15484,Increase,0.08150,Increase,0.23634,Increase,0.01529,Increase,0.02859,Increase,0.04388,Increase
24340,"Grand Rapids-Wyoming, MI",Suburb,All,0.15104,Increase,0.10548,Increase,0.25652,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
24340,"Grand Rapids-Wyoming, MI",Suburb,Black,0.24169,Increase,0.16646,No Change,0.40815,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
24340,"Grand Rapids-Wyoming, MI",Suburb,Hispanic,0.26192,Increase,0.14392,Increase,0.40584,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
24340,"Grand Rapids-Wyoming, MI",Suburb,Non-Hispanic White,0.12425,Increase,0.08209,Increase,0.20634,Increase,0.00000,#DIV/0!,0.00000,#DIV/0!,0.00000,#DIV/0!
24660,"Greensboro-High Point, NC",City,All,0.33031,Increase,-0.03162,No Change,0.29869,Increase,0.14499,Increase,0.10279,Increase,0.24778,Increase
24660,"Greensboro-High Point, NC",City,Black,0.28382,Increase,-0.06594,No Change,0.21788,Increase,0.16808,Increase,0.09260,Increase,0.26068,Increase
24660,"Greensboro-High Point, NC",City,Hispanic,0.34613,Increase,0.09770,No Change,0.44382,Increase,0.15444,Increase,0.09964,No Change,0.25408,Increase
24660,"Greensboro-High Point, NC",City,Non-Hispanic White,0.37578,Increase,-0.04327,No Change,0.33251,Increase,0.08635,Increase,0.11814,Increase,0.20450,Increase
24660,"Greensboro-High Point, NC",Metro,All,0.28419,Increase,0.09318,Increase,0.37736,Increase,0.08697,Increase,0.05677,Increase,0.14374,Increase
24660,"Greensboro-High Point, NC",Metro,Black,0.28383,Increase,0.02413,No Change,0.30796,Increase,0.14059,Increase,0.07578,Increase,0.21636,Increase
24660,"Greensboro-High Point, NC",Metro,Hispanic,0.37361,Increase,0.13984,No Change,0.51345,Increase,0.10048,Increase,0.02451,No Change,0.12499,Increase
24660,"Greensboro-High Point, NC",Metro,Non-Hispanic White,0.24988,Increase,0.12012,Increase,0.37001,Increase,0.03611,Increase,0.03812,Increase,0.07423,Increase
24660,"Greensboro-High Point, NC",Suburb,All,0.24463,Increase,0.22751,Increase,0.47214,Increase,0.02377,Increase,-0.00582,No Change,0.01795,Increase
24660,"Greensboro-High Point, NC",Suburb,Black,0.21808,Increase,0.34151,Increase,0.55960,Increase,0.02782,Increase,0.02549,No Change,0.05330,Increase
24660,"Greensboro-High Point, NC",Suburb,Hispanic,0.42246,Increase,0.14968,No Change,0.57214,Increase,0.06758,Increase,-0.05061,Decrease,0.01698,Increase
24660,"Greensboro-High Point, NC",Suburb,Non-Hispanic White,0.19514,Increase,0.20013,Increase,0.39527,Increase,0.01128,Increase,-0.00617,No Change,0.00511,Increase
24860,"Greenville-Anderson-Mauldin, SC",City,All,0.01860,No Change,-0.14654,Decrease,-0.12795,Decrease,0.27802,Increase,0.02212,No Change,0.30015,Increase
24860,"Greenville-Anderson-Mauldin, SC",City,Black,0.04810,No Change,-0.12024,No Change,-0.07214,No Change,0.38210,Increase,0.06377,No Change,0.44587,Increase
24860,"Greenville-Anderson-Mauldin, SC",City,Hispanic,-0.09739,No Change,0.15648,No Change,0.05909,No Change,0.04378,No Change,0.15681,No Change,0.20059,Increase
24860,"Greenville-Anderson-Mauldin, SC",City,Non-Hispanic White,0.00176,No Change,-0.16359,Decrease,-0.16183,Decrease,0.11060,Increase,0.01488,No Change,0.12548,Increase
24860,"Greenville-Anderson-Mauldin, SC",Metro,All,0.19411,Increase,0.08891,Increase,0.28302,Increase,0.06615,Increase,0.05420,Increase,0.12035,Increase
24860,"Greenville-Anderson-Mauldin, SC",Metro,Black,0.22853,Increase,0.06914,No Change,0.29767,Increase,0.19326,Increase,0.02100,No Change,0.21426,Increase
24860,"Greenville-Anderson-Mauldin, SC",Metro,Hispanic,0.36867,Increase,0.05568,No Change,0.42435,Increase,0.11744,Increase,0.12471,Increase,0.24215,Increase
24860,"Greenville-Anderson-Mauldin, SC",Metro,Non-Hispanic White,0.16537,Increase,0.09999,Increase,0.26536,Increase,0.00321,No Change,0.05498,Increase,0.05818,Increase
24860,"Greenville-Anderson-Mauldin, SC",Suburb,All,0.21253,Increase,0.11207,Increase,0.32461,Increase,0.04365,Increase,0.06354,Increase,0.10719,Increase
24860,"Greenville-Anderson-Mauldin, SC",Suburb,Black,0.26838,Increase,0.11327,Increase,0.38165,Increase,0.14452,Increase,0.03569,No Change,0.18021,Increase
24860,"Greenville-Anderson-Mauldin, SC",Suburb,Hispanic,0.39307,Increase,0.05175,No Change,0.44482,Increase,0.12016,Increase,0.12345,Increase,0.24360,Increase
24860,"Greenville-Anderson-Mauldin, SC",Suburb,Non-Hispanic White,0.17282,Increase,0.11194,Increase,0.28475,Increase,-0.00196,No Change,0.05708,Increase,0.05511,Increase
25420,"Harrisburg-Carlisle, PA",City,All,0.14328,Increase,0.05867,No Change,0.20195,Increase,0.16537,Increase,0.05583,No Change,0.22120,Increase
25420,"Harrisburg-Carlisle, PA",City,Black,0.19135,Increase,0.00899,No Change,0.20035,Increase,0.19165,Increase,0.02802,No Change,0.21966,Increase
25420,"Harrisburg-Carlisle, PA",City,Hispanic,-0.02633,No Change,0.05815,No Change,0.03182,No Change,0.11927,No Change,0.06403,No Change,0.18330,No Change
25420,"Harrisburg-Carlisle, PA",City,Non-Hispanic White,0.24515,No Change,0.20287,No Change,0.44803,Increase,0.18955,Increase,0.17373,No Change,0.36327,Increase
25420,"Harrisburg-Carlisle, PA",Metro,All,0.03040,No Change,0.06587,Increase,0.09627,Increase,0.04931,Increase,0.00874,No Change,0.05804,Increase
25420,"Harrisburg-Carlisle, PA",Metro,Black,0.13492,No Change,-0.03332,No Change,0.10160,No Change,0.14052,Increase,-0.02495,No Change,0.11558,Increase
25420,"Harrisburg-Carlisle, PA",Metro,Hispanic,0.00828,No Change,-0.00658,No Change,0.00170,No Change,0.06909,No Change,-0.01058,No Change,0.05850,No Change
25420,"Harrisburg-Carlisle, PA",Metro,Non-Hispanic White,-0.00605,No Change,0.07915,Increase,0.07310,Increase,0.01519,Increase,0.01128,No Change,0.02647,Increase
25420,"Harrisburg-Carlisle, PA",Suburb,All,-0.01702,No Change,0.08785,Increase,0.07082,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
25420,"Harrisburg-Carlisle, PA",Suburb,Black,-0.02654,No Change,0.10920,No Change,0.08267,No Change,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
25420,"Harrisburg-Carlisle, PA",Suburb,Hispanic,0.08955,No Change,0.05840,No Change,0.14794,No Change,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
25420,"Harrisburg-Carlisle, PA",Suburb,Non-Hispanic White,-0.02696,Decrease,0.07437,Increase,0.04741,Increase,0.00000,#DIV/0!,0.00000,No Change,0.00000,No Change
25540,"Hartford-West Hartford-East Hartford, CT",City,All,-0.01249,No Change,0.01221,No Change,-0.00028,No Change,0.21310,Increase,-0.03803,No Change,0.17507,Increase
25540,"Hartford-West Hartford-East Hartford, CT",City,Black,-0.00698,No Change,0.03338,No Change,0.02640,No Change,0.12327,Increase,0.01297,No Change,0.13624,Increase
25540,"Hartford-West Hartford-East Hartford, CT",City,Hispanic,-0.01975,No Change,-0.00968,No Change,-0.02942,No Change,0.23813,Increase,-0.02588,No Change,0.21225,Increase
25540,"Hartford-West Hartford-East Hartford, CT",City,Non-Hispanic White,-0.01789,No Change,0.09280,No Change,0.07491,No Change,0.29745,Increase,-0.15920,No Change,0.13825,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Metro,All,0.01154,No Change,0.03217,No Change,0.04372,Increase,0.08853,Increase,-0.02753,Decrease,0.06100,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Metro,Black,0.05382,No Change,-0.04204,No Change,0.01178,No Change,0.09366,Increase,-0.04003,No Change,0.05363,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Metro,Hispanic,-0.03189,No Change,0.00996,No Change,-0.02193,No Change,0.14356,Increase,-0.03501,No Change,0.10855,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Metro,Non-Hispanic White,0.04463,Increase,0.05792,Increase,0.10255,Increase,0.04315,Increase,-0.02243,Decrease,0.02072,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Suburb,All,0.07147,Increase,0.06940,Increase,0.14086,Increase,0.03900,Increase,-0.00355,No Change,0.03545,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Suburb,Black,0.23014,Increase,-0.06540,No Change,0.16474,Increase,0.08063,Increase,-0.05501,Decrease,0.02563,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Suburb,Hispanic,0.03822,No Change,0.09978,No Change,0.13801,Increase,0.06912,Increase,0.02482,No Change,0.09394,Increase
25540,"Hartford-West Hartford-East Hartford, CT",Suburb,Non-Hispanic White,0.05608,Increase,0.05341,Increase,0.10949,Increase,0.02441,Increase,-0.01249,Decrease,0.01192,Increase
26420,"Houston-The Woodlands-Sugar Land, TX",City,All,0.06913,Increase,0.02357,No Change,0.09270,Increase,0.08554,Increase,0.07910,Increase,0.16464,Increase
26420,"Houston-The Woodlands-Sugar Land, TX",City,Black,0.04934,Increase,-0.00391,No Change,0.04542,No Change,0.04363,Increase,0.03626,Increase,0.07988,Increase
26420,"Houston-The Woodlands-Sugar Land, TX",City,Hispanic,0.04703,Increase,0.03977,No Change,0.08680,Increase,0.11894,Increase,0.11922,Increase,0.23816,Increase
26420,"Houston-The Woodlands-Sugar Land, TX",City,Non-Hispanic White,0.08206,Increase,0.03287,No Change,0.11493,Increase,0.03767,Increase,0.03266,Increase,0.07033,Increase
