cbsa,metro,geotype,group,_20plus_share_00to0509,_20plus_share_00to0509_sig,_20plus_share_0509to1014,_20plus_share_0509to1014_sig,_20plus_share_00to1014,_20plus_share_00to1014_sig,_40plus_share_00to0509,_40plus_share_00to0509_sig,_40plus_share_0509to1014,_40plus_share_0509to1014_sig,_40plus_share_00to1014,_40plus_share_00to1014_sig
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Black,0.17384,No Change,0.03286,No Change,0.20670,No Change,0.07151,No Change,0.07343,No Change,0.14494,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Hispanic,0.14898,No Change,0.02208,No Change,0.17107,Increase,-0.02266,No Change,0.15155,Increase,0.12889,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",City,Non-Hispanic White,0.17750,Increase,0.06451,No Change,0.24202,Increase,0.13990,Increase,-0.09084,No Change,0.04906,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,All,0.08440,Increase,0.04255,No Change,0.12695,Increase,0.00512,No Change,0.06881,Increase,0.07394,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Black,0.03290,No Change,0.11104,No Change,0.14394,Increase,0.00771,No Change,0.14440,Increase,0.15210,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Hispanic,0.03996,No Change,0.05466,No Change,0.09462,Increase,-0.04793,Decrease,0.14093,Increase,0.09300,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",Metro,Non-Hispanic White,0.05645,Increase,-0.04260,Decrease,0.01384,No Change,0.01551,No Change,-0.00563,No Change,0.00987,No Change
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,All,0.00632,No Change,0.04523,Increase,0.05155,Increase,-0.01964,Decrease,0.06308,Increase,0.04344,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Black,-0.05943,No Change,0.15301,No Change,0.09357,No Change,-0.03926,No Change,0.20033,Increase,0.16107,Increase
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Hispanic,-0.14023,Decrease,0.12176,No Change,-0.01847,No Change,-0.07561,Decrease,0.12256,Increase,0.04695,No Change
10900,"Allentown-Bethlehem-Easton, PA-NJ",Suburb,Non-Hispanic White,0.02290,Increase,-0.01120,No Change,0.01170,No Change,-0.01419,Decrease,0.02143,Increase,0.00724,No Change
12060,"Atlanta-Sandy Springs-Roswell, GA",City,All,-0.04786,No Change,0.06809,No Change,0.02023,No Change,-0.02416,No Change,0.06893,Increase,0.04477,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Black,-0.01731,No Change,0.04520,No Change,0.02790,No Change,-0.02629,No Change,0.08242,Increase,0.05613,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Hispanic,-0.22015,No Change,0.26441,No Change,0.04425,No Change,0.08837,No Change,0.10990,No Change,0.19827,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",City,Non-Hispanic White,-0.03617,No Change,0.13904,Increase,0.10286,Increase,0.01638,No Change,0.01999,No Change,0.03637,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,All,0.10387,Increase,0.14584,Increase,0.24971,Increase,-0.03540,Decrease,0.04340,Increase,0.00800,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Black,0.02077,No Change,0.15196,Increase,0.17273,Increase,-0.07168,Decrease,0.04950,Increase,-0.02217,Decrease
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Hispanic,0.25665,Increase,0.16766,Increase,0.42431,Increase,-0.00352,No Change,0.06913,Increase,0.06560,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Metro,Non-Hispanic White,0.13572,Increase,0.10679,Increase,0.24251,Increase,0.00439,Increase,0.01069,Increase,0.01509,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,All,0.18083,Increase,0.18021,Increase,0.36104,Increase,-0.01343,Decrease,0.05866,Increase,0.04523,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Black,0.12840,Increase,0.22837,Increase,0.35678,Increase,-0.03618,Decrease,0.07969,Increase,0.04351,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Hispanic,0.30143,Increase,0.16374,Increase,0.46517,Increase,-0.00366,No Change,0.07151,Increase,0.06785,Increase
12060,"Atlanta-Sandy Springs-Roswell, GA",Suburb,Non-Hispanic White,0.14719,Increase,0.10636,Increase,0.25355,Increase,0.00310,Increase,0.01190,Increase,0.01501,Increase
12260,"Augusta-Richmond County, GA-SC",City,All,0.11941,Increase,0.02872,No Change,0.14812,Increase,0.07480,Increase,-0.06144,Decrease,0.01336,No Change
12260,"Augusta-Richmond County, GA-SC",City,Black,0.10353,Increase,0.02813,No Change,0.13167,Increase,0.07626,Increase,-0.08779,Decrease,-0.01153,No Change
12260,"Augusta-Richmond County, GA-SC",City,Hispanic,-0.09070,No Change,-0.01151,No Change,-0.10221,No Change,-0.03797,No Change,0.01958,No Change,-0.01840,No Change
12260,"Augusta-Richmond County, GA-SC",City,Non-Hispanic White,0.15528,Increase,0.05494,No Change,0.21022,Increase,0.06728,Increase,0.00456,No Change,0.07184,Increase
12260,"Augusta-Richmond County, GA-SC",Metro,All,0.09899,Increase,0.12840,Increase,0.22739,Increase,0.04538,Increase,-0.01312,No Change,0.03226,Increase
12260,"Augusta-Richmond County, GA-SC",Metro,Black,0.11130,Increase,0.10909,Increase,0.22039,Increase,0.06958,Increase,-0.03003,No Change,0.03955,Increase
12260,"Augusta-Richmond County, GA-SC",Metro,Hispanic,-0.02959,No Change,0.19426,No Change,0.16466,No Change,-0.02008,No Change,0.02563,No Change,0.00555,No Change
12260,"Augusta-Richmond County, GA-SC",Metro,Non-Hispanic White,0.12114,Increase,0.16339,Increase,0.28452,Increase,0.02527,Increase,0.01651,No Change,0.04179,Increase
12260,"Augusta-Richmond County, GA-SC",Suburb,All,0.09439,Increase,0.21578,Increase,0.31017,Increase,0.02817,Increase,0.03133,Increase,0.05950,Increase
12260,"Augusta-Richmond County, GA-SC",Suburb,Black,0.11528,Increase,0.20687,Increase,0.32215,Increase,0.05707,Increase,0.03986,No Change,0.09693,Increase
12260,"Augusta-Richmond County, GA-SC",Suburb,Hispanic,0.08950,No Change,0.28394,No Change,0.37344,Increase,0.00513,No Change,0.02827,No Change,0.03341,No Change
12260,"Augusta-Richmond County, GA-SC",Suburb,Non-Hispanic White,0.12218,Increase,0.22083,Increase,0.34301,Increase,0.00879,No Change,0.02627,Increase,0.03506,Increase
12420,"Austin-Round Rock, TX",City,All,0.10077,Increase,0.07941,Increase,0.18018,Increase,0.08343,Increase,0.04026,Increase,0.12369,Increase
12420,"Austin-Round Rock, TX",City,Black,0.12001,No Change,0.07033,No Change,0.19034,Increase,0.00939,No Change,0.07625,Increase,0.08564,Increase
12420,"Austin-Round Rock, TX",City,Hispanic,0.12871,Increase,0.10751,Increase,0.23623,Increase,0.11592,Increase,0.05480,Increase,0.17071,Increase
12420,"Austin-Round Rock, TX",City,Non-Hispanic White,0.03773,No Change,0.03674,No Change,0.07448,Increase,0.05408,Increase,-0.00937,No Change,0.04471,Increase
12420,"Austin-Round Rock, TX",Metro,All,0.07820,Increase,0.04411,Increase,0.12231,Increase,0.05320,Increase,0.01988,Increase,0.07308,Increase
12420,"Austin-Round Rock, TX",Metro,Black,0.11634,Increase,-0.02517,No Change,0.09116,Increase,0.01560,No Change,0.01522,No Change,0.03082,Increase
12420,"Austin-Round Rock, TX",Metro,Hispanic,0.12370,Increase,0.05963,No Change,0.18333,Increase,0.07477,Increase,0.02660,Increase,0.10136,Increase
12420,"Austin-Round Rock, TX",Metro,Non-Hispanic White,0.01980,No Change,0.02372,No Change,0.04352,Increase,0.03566,Increase,0.00582,No Change,0.04148,Increase
12420,"Austin-Round Rock, TX",Suburb,All,0.07130,Increase,0.04641,Increase,0.11771,Increase,-0.00075,No Change,-0.00295,No Change,-0.00370,No Change
12420,"Austin-Round Rock, TX",Suburb,Black,0.07984,No Change,-0.05429,No Change,0.02555,No Change,0.03152,No Change,-0.07635,Decrease,-0.04483,Decrease
12420,"Austin-Round Rock, TX",Suburb,Hispanic,0.13363,Increase,0.06729,No Change,0.20092,Increase,-0.01071,No Change,-0.00117,No Change,-0.01187,No Change
12420,"Austin-Round Rock, TX",Suburb,Non-Hispanic White,0.02963,No Change,0.02119,No Change,0.05082,Increase,0.00667,No Change,0.01975,No Change,0.02641,Increase
12540,"Bakersfield, CA",City,All,-0.09064,Decrease,0.10686,Increase,0.01623,No Change,-0.09214,Decrease,0.08831,Increase,-0.00383,No Change
12540,"Bakersfield, CA",City,Black,-0.03643,No Change,0.03563,No Change,-0.00080,No Change,-0.10451,No Change,0.06468,No Change,-0.03983,No Change
12540,"Bakersfield, CA",City,Hispanic,-0.15971,Decrease,0.14099,Increase,-0.01872,No Change,-0.14114,Decrease,0.10061,Increase,-0.04053,No Change
